timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750017983683,832,Get all characters,200,OK,Testing with localhost1 1-84,text,true,,416,154,100,100,http://localhost:3001//characters,832,0,163
1750017983703,813,Get all characters,200,OK,Testing with localhost1 1-85,text,true,,416,154,100,100,http://localhost:3001//characters,813,0,147
1750017983495,1022,Get all characters,200,OK,Testing with localhost1 1-11,text,true,,416,154,100,100,http://localhost:3001//characters,1022,0,354
1750017983681,838,Get all characters,200,OK,Testing with localhost1 1-81,text,true,,416,154,100,100,http://localhost:3001//characters,838,0,173
1750017983545,975,Get all characters,200,OK,Testing with localhost1 1-4,text,true,,416,154,100,100,http://localhost:3001//characters,975,0,317
1750017983656,865,Get all characters,200,OK,Testing with localhost1 1-58,text,true,,416,154,100,100,http://localhost:3001//characters,865,0,221
1750017983884,639,Get all characters,200,OK,Testing with localhost1 1-90,text,true,,416,154,100,100,http://localhost:3001//characters,639,0,1
1750017983896,630,Get all characters,200,OK,Testing with localhost1 1-91,text,true,,416,154,100,100,http://localhost:3001//characters,630,0,3
1750017983895,632,Get all characters,200,OK,Testing with localhost1 1-98,text,true,,416,154,100,100,http://localhost:3001//characters,632,0,6
1750017983903,625,Get all characters,200,OK,Testing with localhost1 1-94,text,true,,416,154,100,100,http://localhost:3001//characters,625,0,1
1750017983904,626,Get all characters,200,OK,Testing with localhost1 1-95,text,true,,416,154,100,100,http://localhost:3001//characters,626,0,4
1750017983911,620,Get all characters,200,OK,Testing with localhost1 1-99,text,true,,416,154,100,100,http://localhost:3001//characters,620,0,11
1750017983983,550,Get all characters,200,OK,Testing with localhost1 1-89,text,true,,416,154,100,100,http://localhost:3001//characters,550,0,7
1750017984022,513,Get all characters,200,OK,Testing with localhost1 1-92,text,true,,416,154,100,100,http://localhost:3001//characters,513,0,10
1750017984032,505,Get all characters,200,OK,Testing with localhost1 1-93,text,true,,416,154,100,100,http://localhost:3001//characters,505,0,3
1750017983982,559,Get all characters,200,OK,Testing with localhost1 1-88,text,true,,416,154,100,100,http://localhost:3001//characters,559,0,56
1750017984040,503,Get all characters,200,OK,Testing with localhost1 1-96,text,true,,416,154,100,100,http://localhost:3001//characters,503,0,4
1750017984049,495,Get all characters,200,OK,Testing with localhost1 1-100,text,true,,416,154,100,100,http://localhost:3001//characters,495,0,1
1750017984047,498,Get all characters,200,OK,Testing with localhost1 1-97,text,true,,416,154,100,100,http://localhost:3001//characters,498,0,4
1750017984264,283,Get character by id,200,OK,Testing with localhost1 1-5,text,true,,264,155,100,100,http://localhost:3001//character/1,283,0,0
1750017984268,280,Get character by id,200,OK,Testing with localhost1 1-48,text,true,,264,155,100,100,http://localhost:3001//character/1,280,0,0
1750017984268,282,Get character by id,200,OK,Testing with localhost1 1-41,text,true,,264,155,100,100,http://localhost:3001//character/1,282,0,0
1750017984271,280,Get character by id,200,OK,Testing with localhost1 1-26,text,true,,264,155,100,100,http://localhost:3001//character/1,280,0,0
1750017984273,281,Get character by id,200,OK,Testing with localhost1 1-74,text,true,,264,155,100,100,http://localhost:3001//character/1,281,0,0
1750017984278,277,Get character by id,200,OK,Testing with localhost1 1-54,text,true,,264,155,100,100,http://localhost:3001//character/1,277,0,0
1750017984282,275,Get character by id,200,OK,Testing with localhost1 1-45,text,true,,264,155,100,100,http://localhost:3001//character/1,275,0,0
1750017984292,267,Get character by id,200,OK,Testing with localhost1 1-66,text,true,,264,155,100,100,http://localhost:3001//character/1,267,0,0
1750017984294,268,Get character by id,200,OK,Testing with localhost1 1-65,text,true,,264,155,100,100,http://localhost:3001//character/1,268,0,0
1750017984287,278,Create character ,201,Created,Testing with localhost1 1-82,text,true,,277,249,100,100,http://localhost:3001//character,278,0,0
1750017984287,280,Create character ,201,Created,Testing with localhost1 1-2,text,true,,277,249,100,100,http://localhost:3001//character,280,0,0
1750017984296,273,Get character by id,200,OK,Testing with localhost1 1-14,text,true,,264,155,100,100,http://localhost:3001//character/1,273,0,0
1750017984297,273,Get character by id,200,OK,Testing with localhost1 1-7,text,true,,264,155,100,100,http://localhost:3001//character/1,273,0,0
1750017984300,271,Get character by id,200,OK,Testing with localhost1 1-43,text,true,,264,155,100,100,http://localhost:3001//character/1,271,0,0
1750017984301,271,Get character by id,200,OK,Testing with localhost1 1-23,text,true,,264,155,100,100,http://localhost:3001//character/1,271,0,0
1750017984303,273,Get character by id,200,OK,Testing with localhost1 1-42,text,true,,264,155,100,100,http://localhost:3001//character/1,273,0,0
1750017984304,273,Get character by id,200,OK,Testing with localhost1 1-63,text,true,,264,155,100,100,http://localhost:3001//character/1,273,0,0
1750017984305,273,Get character by id,200,OK,Testing with localhost1 1-34,text,true,,264,155,100,100,http://localhost:3001//character/1,273,0,0
1750017984309,271,Get character by id,200,OK,Testing with localhost1 1-16,text,true,,264,155,100,100,http://localhost:3001//character/1,271,0,0
1750017984314,267,Get character by id,200,OK,Testing with localhost1 1-78,text,true,,264,155,100,100,http://localhost:3001//character/1,267,0,0
1750017984315,268,Get character by id,200,OK,Testing with localhost1 1-80,text,true,,264,155,100,100,http://localhost:3001//character/1,268,0,0
1750017984317,267,Get character by id,200,OK,Testing with localhost1 1-31,text,true,,264,155,100,100,http://localhost:3001//character/1,267,0,0
1750017984319,267,Get character by id,200,OK,Testing with localhost1 1-3,text,true,,264,155,100,100,http://localhost:3001//character/1,267,0,0
1750017984321,266,Get character by id,200,OK,Testing with localhost1 1-76,text,true,,264,155,100,100,http://localhost:3001//character/1,266,0,0
1750017984326,262,Get character by id,200,OK,Testing with localhost1 1-64,text,true,,264,155,100,100,http://localhost:3001//character/1,262,0,0
1750017984328,264,Get character by id,200,OK,Testing with localhost1 1-72,text,true,,264,155,100,100,http://localhost:3001//character/1,263,0,0
1750017984332,260,Get character by id,200,OK,Testing with localhost1 1-69,text,true,,264,155,100,100,http://localhost:3001//character/1,260,0,0
1750017984337,258,Get character by id,200,OK,Testing with localhost1 1-38,text,true,,264,155,100,100,http://localhost:3001//character/1,257,0,0
1750017984341,255,Get character by id,200,OK,Testing with localhost1 1-73,text,true,,264,155,100,100,http://localhost:3001//character/1,255,0,0
1750017984345,254,Get character by id,200,OK,Testing with localhost1 1-50,text,true,,264,155,100,100,http://localhost:3001//character/1,254,0,0
1750017984346,255,Get character by id,200,OK,Testing with localhost1 1-68,text,true,,264,155,100,100,http://localhost:3001//character/1,255,0,0
1750017984348,256,Get character by id,200,OK,Testing with localhost1 1-46,text,true,,264,155,100,100,http://localhost:3001//character/1,256,0,0
1750017984350,255,Get character by id,200,OK,Testing with localhost1 1-27,text,true,,264,155,100,100,http://localhost:3001//character/1,255,0,0
